Age,EdLevel,MainBranch,DevType,Country,Industry,Employment,OrgSize,WorkExp,Worktype,YearsCode,YearsCodePro,Salary,Avgcodepro_time
0,2,1,9,24,4,1,3,0,2,7,0,53379.0,7
1,2,1,5,6,1,1,2,0,0,6,0,63840.0,6
0,1,1,6,10,4,1,7,0,1,5,0,56222.0,5
1,2,1,1,20,4,1,4,1,2,14,9,91026.0,5
2,1,1,9,12,4,1,1,1,1,20,15,23560.0,5
1,0,1,9,22,6,1,2,2,0,12,8,88118.0,4
1,1,1,9,10,4,1,7,2,2,15,11,22416.0,4
1,2,1,1,8,4,1,0,1,2,11,7,107090.0,4
1,2,1,5,21,4,1,0,0,2,15,0,44228.0,15
4,1,1,4,0,4,1,3,1,0,25,22,132208.0,3
1,1,1,9,9,4,1,3,1,0,5,2,53545.0,3
2,0,1,1,23,3,1,7,2,0,20,11,60000.0,9
1,2,1,5,13,2,1,7,0,0,10,5,76034.0,5
0,1,1,5,25,4,1,2,0,2,11,4,140000.0,7
1,2,1,10,8,4,1,2,2,2,19,12,107090.0,7
1,1,1,5,10,4,1,3,0,0,4,4,24840.0,0
1,1,1,3,6,4,1,2,1,0,5,5,60390.0,0
1,1,1,9,10,4,1,3,1,2,12,8,24234.0,4
2,1,1,5,0,3,1,2,1,0,19,8,105766.0,11
3,0,1,5,12,4,1,5,5,0,30,27,37481.0,3
1,1,1,9,10,4,1,2,0,2,9,5,19387.0,4
2,1,1,5,0,4,1,5,1,0,20,8,118987.0,12
1,2,1,8,8,4,1,3,1,2,8,3,53545.0,5
0,0,1,5,11,4,1,3,0,0,10,2,64147.0,8
1,1,1,10,14,6,1,2,0,0,10,3,80127.0,7
1,1,1,5,21,2,1,7,0,0,3,2,47914.0,1
1,1,1,9,0,4,1,3,1,1,9,6,79325.0,3
1,1,1,9,16,4,1,5,0,2,6,2,34454.0,4
1,2,1,8,16,4,0,3,1,2,11,6,64254.0,5
3,0,1,6,22,4,1,7,1,1,30,25,132260.0,5
0,1,1,3,9,4,1,1,1,0,11,6,64254.0,5
2,2,1,6,8,4,2,6,4,2,22,17,53545.0,5
1,1,1,9,10,4,1,2,0,1,8,4,42409.0,4
1,1,1,5,18,3,1,2,1,2,12,8,56965.0,4
0,0,1,9,25,4,1,2,0,0,3,1,70000.0,2
3,2,1,9,9,4,1,1,4,0,25,23,144571.0,2
3,1,1,1,0,6,1,3,6,0,41,33,142123.0,8
1,2,1,5,15,4,1,3,0,0,9,4,76115.0,5
1,2,1,4,20,4,1,0,3,2,17,8,51403.0,9
3,1,1,9,14,3,0,2,5,2,30,27,118369.0,3
3,1,1,3,0,4,1,7,1,2,28,22,138818.0,6
2,0,1,9,25,4,1,2,1,2,12,5,94000.0,7
1,2,1,3,16,4,0,3,1,2,12,8,100490.0,4
2,2,1,5,19,4,1,2,3,2,20,15,41582.0,5
1,2,1,9,9,4,1,7,1,0,7,6,64254.0,1
1,1,1,9,0,4,1,1,1,1,13,5,105766.0,8
1,1,1,8,4,4,1,3,2,0,13,11,96657.0,2
3,2,1,5,9,4,1,5,4,0,30,20,108160.0,10
0,0,1,5,16,4,1,2,0,2,10,4,80870.0,6
1,1,1,10,10,4,1,3,1,0,9,8,60584.0,1
1,0,1,10,19,4,1,7,1,2,10,10,84368.0,0
2,0,1,3,0,4,1,6,1,0,10,8,77342.0,2
1,1,1,9,24,4,1,3,0,1,13,5,111724.0,8
1,1,1,9,13,4,1,1,1,0,9,5,80317.0,4
0,2,1,9,15,4,1,2,0,1,8,3,55274.0,5
2,1,1,9,10,5,1,7,3,2,23,17,23022.0,6
1,1,1,7,7,4,1,5,1,0,3,0,52474.0,3
1,0,1,6,6,4,1,5,1,0,3,1,51763.0,2
1,2,1,9,9,4,0,0,1,2,7,3,96381.0,4
1,1,1,9,10,4,1,5,0,0,8,4,27869.0,4
0,0,1,5,9,4,1,7,0,2,7,1,13922.0,6
1,1,1,5,9,4,1,5,1,0,10,7,85672.0,3
2,3,1,2,20,4,1,1,0,1,4,2,32127.0,2
1,2,1,5,20,4,1,5,1,2,9,7,49261.0,2
1,1,1,9,22,4,1,4,1,0,10,5,126749.0,5
1,1,1,9,9,2,1,5,0,0,7,3,74963.0,4
0,1,1,6,25,4,1,6,1,2,7,0,102000.0,7
0,1,1,5,10,2,1,5,0,1,7,1,14540.0,6
1,2,1,5,7,4,1,3,2,0,25,14,96381.0,11
2,0,1,5,9,4,1,3,1,1,26,14,80317.0,12
1,0,1,9,13,4,1,1,2,1,16,11,53545.0,5
0,1,1,9,9,4,1,4,0,0,6,3,48190.0,3
0,1,1,9,18,4,1,0,0,1,5,5,120000.0,0
1,2,1,7,9,4,1,3,1,0,25,10,106019.0,15
2,1,1,5,10,4,1,3,3,2,20,16,79971.0,4
2,0,1,9,12,4,1,3,3,1,20,20,74963.0,0
4,0,1,9,0,4,1,1,1,1,25,20,47595.0,5
1,1,1,10,10,4,1,2,1,2,8,3,10602.0,5
1,1,1,5,10,4,1,2,1,0,11,9,31504.0,2
1,0,1,9,6,4,1,1,1,0,12,9,112871.0,3
0,1,1,6,25,4,1,6,0,1,4,2,150000.0,2
3,1,0,2,9,4,1,6,1,0,40,30,112444.0,10
1,1,1,9,7,4,1,5,0,0,6,1,44978.0,5
2,2,1,7,9,4,1,3,2,2,13,13,96381.0,0
1,1,1,3,21,7,1,7,0,2,6,2,55285.0,4
1,0,1,8,5,4,0,0,0,0,10,3,27296.0,7
1,2,1,5,5,4,1,3,1,2,16,5,40034.0,11
3,1,1,9,14,4,1,3,1,0,35,35,109264.0,0
1,2,1,5,13,4,1,6,2,0,14,10,80317.0,4
1,1,1,6,16,4,1,5,1,0,10,8,54552.0,2
2,1,1,9,25,4,1,5,1,2,15,10,200000.0,5
1,2,1,5,10,4,1,2,1,0,5,4,15146.0,1
2,1,1,8,13,4,1,5,1,0,20,13,81388.0,7
1,1,1,9,24,2,1,2,2,2,16,12,124138.0,4
1,1,1,5,0,4,1,3,0,0,11,4,76019.0,7
1,2,1,5,15,4,1,3,0,0,9,4,83817.0,5
1,2,1,9,8,4,1,5,0,0,9,2,40694.0,7
2,1,1,9,14,4,1,3,4,0,31,22,100766.0,9
1,2,1,10,10,4,1,3,1,0,11,8,18175.0,3
1,2,1,10,5,4,0,3,0,0,6,3,59142.0,3
1,1,1,9,10,4,1,3,1,1,12,7,13086.0,5
2,1,1,9,9,4,2,2,1,0,15,10,44978.0,5
1,0,1,9,22,4,1,1,0,0,12,3,77372.0,9
0,1,1,1,10,3,1,6,0,0,5,2,12117.0,3
2,2,1,5,8,4,1,2,3,2,19,17,62112.0,2
1,1,1,9,15,4,1,3,1,0,7,3,79739.0,4
0,1,1,7,9,4,1,6,0,0,8,3,53545.0,5
1,2,1,5,8,4,1,3,0,1,6,5,69608.0,1
2,2,1,9,21,4,1,1,2,0,19,13,55285.0,6
1,1,1,1,25,4,1,7,1,0,13,0,108000.0,13
1,2,1,8,10,4,1,3,1,0,7,5,12117.0,2
3,2,1,7,23,4,1,1,1,2,26,23,54237.0,3
2,1,1,5,10,4,1,7,1,0,22,18,43621.0,4
2,1,1,9,18,4,1,5,3,0,22,18,31072.0,4
0,0,1,7,7,4,1,5,0,1,6,0,32127.0,6
1,1,1,6,16,4,1,2,1,0,15,10,35889.0,5
1,0,1,5,24,4,1,2,0,2,5,4,120414.0,1
1,1,1,9,5,2,1,2,2,0,18,13,81888.0,5
2,0,1,5,9,4,2,2,1,2,7,5,85672.0,2
1,2,1,9,9,4,1,3,0,0,12,4,68537.0,8
0,2,1,9,25,6,1,7,0,0,12,0,105000.0,12
1,2,1,7,16,4,1,6,1,0,5,5,47852.0,0
1,2,1,2,21,4,1,7,0,0,5,1,55285.0,4
2,1,1,9,9,1,1,5,2,2,25,13,50409.0,12
1,0,1,9,16,4,1,4,0,2,10,2,33497.0,8
1,2,1,5,2,7,1,5,2,0,16,11,107090.0,5
1,1,1,5,24,4,1,2,0,0,7,5,91862.0,2
1,0,1,9,9,4,1,2,1,0,10,6,51403.0,4
3,1,1,7,13,7,1,0,4,0,41,20,50332.0,21
2,1,1,1,20,0,1,4,2,2,20,12,74963.0,8
1,2,1,5,21,4,1,5,0,0,8,3,64499.0,5
1,1,1,9,10,7,1,0,0,1,8,4,13086.0,4
2,0,1,5,24,1,1,4,0,2,7,2,32897.0,5
2,2,1,2,2,4,1,2,1,0,20,12,77104.0,8
1,1,1,7,10,7,1,5,0,0,8,4,18733.0,4
1,1,1,3,6,4,1,4,2,1,9,3,69017.0,6
1,2,1,2,15,4,1,3,1,0,10,5,71584.0,5
2,0,1,4,12,2,1,2,4,2,28,25,85672.0,3
2,2,1,9,10,4,0,1,2,2,20,16,43621.0,4
2,1,1,9,21,4,1,5,3,0,21,16,39842.0,5
2,0,1,5,9,4,1,2,1,0,18,15,85672.0,3
1,3,1,5,15,4,1,2,0,0,6,5,63429.0,1
1,1,1,5,9,6,1,6,1,2,6,2,67466.0,4
1,2,1,5,5,4,1,7,1,2,12,9,68240.0,3
2,1,1,10,9,4,0,1,1,2,7,7,96381.0,0
1,1,1,9,0,6,1,7,1,0,12,7,112377.0,5
1,1,1,5,7,4,1,0,2,0,18,15,58899.0,3
1,2,1,5,20,4,1,1,0,2,6,4,42836.0,2
1,1,0,2,24,0,1,5,1,0,6,5,68276.0,1
1,0,1,7,12,7,1,2,1,1,18,10,34269.0,8
1,2,1,9,6,4,1,3,0,0,9,2,77644.0,7
1,1,1,5,18,4,1,4,1,2,20,12,107090.0,8
1,1,1,7,9,7,1,3,0,0,7,4,69608.0,3
4,0,1,9,0,4,0,5,6,0,30,35,145429.0,-5
1,2,1,9,13,4,1,1,1,2,12,6,117798.0,6
0,1,1,7,25,4,1,7,1,1,5,0,115000.0,5
1,3,1,8,24,4,1,2,1,0,11,4,68276.0,7
1,1,1,9,13,4,1,6,2,0,22,13,176698.0,9
1,0,1,0,9,4,1,3,3,2,20,15,192761.0,5
0,1,1,5,10,2,1,5,0,0,9,3,23022.0,6
1,3,1,8,20,4,1,7,0,0,7,2,25701.0,5
3,1,1,5,7,3,1,3,4,0,26,23,117798.0,3
1,1,1,9,9,4,1,2,1,0,16,6,67466.0,10
3,1,1,0,11,4,1,5,1,0,25,23,133640.0,2
2,1,1,9,25,4,1,6,2,0,17,13,150000.0,4
1,1,1,10,10,4,1,2,0,2,7,5,13086.0,2
4,1,0,1,12,7,1,7,6,1,34,32,42836.0,2
1,0,1,9,21,2,1,5,1,0,12,10,57496.0,2
3,2,1,2,2,4,0,0,4,0,30,25,53545.0,5
2,1,1,8,20,4,1,1,1,2,18,18,39623.0,0
0,0,1,5,11,0,1,5,0,0,8,1,93548.0,7
0,1,1,9,13,7,1,2,0,0,7,2,53545.0,5
4,2,1,3,0,2,0,6,6,0,46,36,165260.0,10
1,1,1,9,10,5,1,7,0,0,7,4,23022.0,3
0,0,1,9,1,4,1,2,0,0,6,0,53545.0,6
1,2,1,2,13,4,1,5,1,0,15,6,64254.0,9
1,2,1,5,15,4,1,7,0,0,7,2,60348.0,5
2,2,1,5,10,4,1,3,1,0,15,10,60584.0,5
1,0,1,9,9,4,1,2,2,2,15,9,74963.0,6
2,3,1,1,11,4,0,2,1,0,10,6,160367.0,4
1,1,1,9,7,4,1,3,1,2,9,6,81923.0,3
2,0,1,9,24,2,1,3,4,0,20,7,77586.0,13
1,1,1,5,18,4,1,5,1,0,9,8,38839.0,1
1,2,1,6,9,4,1,2,1,1,4,3,58899.0,1
1,2,1,9,1,4,2,0,1,2,6,6,85672.0,0
2,0,0,3,7,4,1,4,1,0,20,5,58899.0,15
2,0,1,9,7,4,1,0,1,0,20,10,53545.0,10
1,1,1,9,10,4,1,3,1,1,13,9,36351.0,4
2,2,1,9,13,4,1,5,1,0,20,16,69608.0,4
2,2,1,5,11,4,1,2,1,0,14,8,137916.0,6
2,0,1,9,7,4,1,5,3,2,28,22,69608.0,6
1,2,1,9,8,4,1,1,0,1,9,1,39623.0,8
1,2,1,5,19,4,1,3,1,0,9,5,65116.0,4
3,1,1,6,7,4,1,3,1,0,34,23,69608.0,11
2,0,1,5,18,4,1,2,1,2,10,10,64732.0,0
1,1,1,5,25,4,1,2,1,0,14,6,180000.0,8
1,2,1,10,18,4,1,7,1,2,13,5,43155.0,8
2,2,1,6,8,4,1,2,1,0,24,20,56757.0,4
3,1,1,5,20,4,0,2,1,2,25,21,85672.0,4
1,2,1,6,23,4,0,3,1,2,10,6,55000.0,4
1,1,1,9,18,4,1,3,1,0,14,8,32366.0,6
3,2,1,1,9,4,1,7,1,2,20,20,107090.0,0
2,2,1,9,7,4,1,0,4,2,26,22,64254.0,4
2,2,1,9,22,7,1,4,3,1,16,13,121238.0,3
2,0,1,9,22,4,1,3,3,1,19,19,136668.0,0
1,2,1,9,9,4,1,5,1,0,7,3,67466.0,4
1,1,1,9,9,4,1,2,1,2,12,6,69608.0,6
3,2,1,5,19,4,1,7,1,1,30,27,43315.0,3
1,1,1,9,1,4,1,2,1,1,12,8,48190.0,4
1,1,1,8,9,4,1,0,1,0,6,4,64254.0,2
0,1,1,5,10,4,1,4,0,1,4,1,27869.0,3
2,3,1,6,8,4,1,5,2,2,27,15,61041.0,12
1,1,1,5,15,4,1,1,0,1,8,5,59805.0,3
2,0,1,9,23,4,1,2,2,0,20,15,105355.0,5
1,1,1,8,18,4,1,3,1,2,19,8,82459.0,11
1,1,1,7,13,3,1,5,0,0,12,4,53545.0,8
2,3,1,7,9,4,1,6,1,0,27,15,83530.0,12
1,1,1,3,21,7,1,1,1,0,10,5,50862.0,5
1,1,1,9,23,4,1,0,0,2,6,5,84000.0,1
4,2,1,6,22,7,1,3,5,0,41,28,128507.0,13
1,1,1,9,10,4,1,5,1,0,8,6,36351.0,2
3,2,1,6,7,4,1,2,4,0,39,25,107090.0,14
1,0,1,3,13,4,1,4,1,2,10,8,77104.0,2
2,1,1,10,10,4,1,7,2,0,21,12,24234.0,9
1,2,1,7,16,4,1,3,1,2,11,7,43067.0,4
0,1,1,5,18,4,1,3,1,2,6,2,19938.0,4
2,1,1,5,18,4,1,2,3,2,19,16,80000.0,3
1,0,1,6,9,4,1,3,1,1,8,5,55687.0,3
3,3,1,6,10,4,1,5,1,1,7,7,24234.0,0
1,1,1,10,11,7,1,2,0,0,6,3,85636.0,3
2,2,1,5,18,4,1,2,3,2,19,19,64254.0,0
1,1,1,5,10,4,1,7,1,0,11,9,35139.0,2
2,0,1,9,11,4,1,1,2,1,15,13,121879.0,2
1,0,1,5,19,4,1,5,1,2,10,9,61878.0,1
1,1,1,4,9,2,1,5,1,0,15,10,149925.0,5
2,1,1,9,22,2,1,3,4,0,27,23,121238.0,4
1,2,1,8,15,4,1,2,0,0,7,0,60711.0,7
1,2,1,9,24,4,1,5,2,1,16,12,98069.0,4
1,1,1,9,11,3,1,2,1,1,15,7,133640.0,8
1,0,1,10,21,4,1,2,1,0,10,7,63025.0,3
1,1,1,5,10,4,1,5,1,2,7,5,21822.0,2
1,0,1,9,18,4,1,5,2,0,15,12,53009.0,3
1,0,1,5,9,4,1,3,1,2,12,8,85672.0,4
2,0,1,7,7,4,1,1,1,0,15,10,34804.0,5
1,1,1,9,9,4,1,1,0,0,7,4,64254.0,3
1,2,1,6,18,4,1,5,1,2,15,6,42076.0,9
2,2,1,5,23,4,1,7,2,2,22,15,50896.0,7
2,2,1,2,16,3,1,0,2,2,14,10,100490.0,4
1,1,1,6,0,2,1,7,0,0,5,3,99156.0,2
2,2,1,10,1,0,1,1,2,0,20,14,78739.0,6
1,2,1,2,8,4,1,7,0,0,10,5,44978.0,5
2,1,1,5,18,4,0,4,1,2,25,17,67852.0,8
1,1,1,5,12,6,1,3,1,0,9,7,64254.0,2
3,0,1,7,12,4,1,2,4,2,25,22,54616.0,3
2,1,1,1,20,4,1,4,1,0,12,8,96381.0,4
1,1,1,9,18,4,1,2,0,0,10,2,22225.0,8
1,1,1,10,0,0,1,7,1,0,18,8,102461.0,10
2,0,1,5,9,4,1,2,1,0,19,18,102806.0,1
1,1,1,9,5,4,0,0,2,0,15,15,63691.0,0
2,1,1,9,21,7,1,6,3,0,17,17,49756.0,0
2,2,1,9,12,4,1,3,2,1,20,11,38552.0,9
1,1,1,5,16,4,1,2,1,0,6,3,59815.0,3
2,3,1,1,20,4,1,5,1,0,7,5,98522.0,2
1,3,1,5,12,4,1,3,0,0,15,5,47119.0,10
1,0,1,5,13,4,1,4,1,0,7,3,59970.0,4
1,2,1,5,16,4,0,4,0,2,7,3,78956.0,4
1,2,1,9,16,2,1,2,1,0,9,6,71779.0,3
1,1,1,9,25,4,1,3,1,0,13,7,145000.0,6
1,2,1,8,23,1,1,2,2,2,11,11,54237.0,0
1,2,1,5,8,4,1,2,1,0,15,8,63183.0,7
2,2,1,7,22,7,1,3,2,0,14,11,125647.0,3
2,0,1,4,9,4,1,2,2,1,20,11,101735.0,9
2,1,1,9,11,3,1,2,1,0,10,7,115465.0,3
0,3,1,10,8,4,1,2,1,0,4,2,37481.0,2
2,0,1,9,7,4,1,5,2,2,18,13,69608.0,5
3,3,1,1,24,4,1,3,4,0,26,24,111724.0,2
1,1,1,9,22,3,1,2,0,0,10,3,99195.0,7
1,0,1,9,9,3,1,0,0,2,7,3,53545.0,4
3,2,1,9,24,4,1,1,5,2,4,2,51331.0,2
1,0,1,9,9,2,1,2,1,2,10,7,64254.0,3
2,1,1,9,22,4,1,2,2,0,25,13,94786.0,12
1,1,1,8,18,4,1,2,1,2,14,10,88468.0,4
1,1,1,5,15,4,1,3,0,1,13,3,61979.0,10
2,0,1,5,19,4,1,2,1,0,20,13,30939.0,7
1,1,1,5,18,4,1,5,1,2,9,7,51786.0,2
2,0,1,9,11,4,1,0,3,0,26,18,134709.0,8
0,2,1,5,24,4,1,4,0,0,4,2,38483.0,2
2,2,1,8,7,4,1,3,2,0,20,11,74963.0,9
1,0,1,8,18,2,1,3,1,2,10,10,35214.0,0
2,1,1,6,11,4,1,5,2,0,16,11,192441.0,5
1,2,1,9,18,4,1,3,1,0,11,8,85672.0,3
1,2,1,3,18,4,1,5,0,0,14,3,58907.0,11
2,2,1,8,1,4,1,4,1,2,18,13,64254.0,5
1,2,1,10,12,4,0,0,0,2,17,4,42836.0,13
0,1,1,5,10,4,1,7,0,2,8,4,30292.0,4
1,1,1,5,13,4,1,2,0,0,13,4,53545.0,9
2,0,1,9,11,4,1,4,1,2,13,10,121612.0,3
1,2,1,9,8,4,1,3,1,0,12,10,46049.0,2
1,1,1,5,7,4,1,5,1,0,9,6,58899.0,3
2,0,1,5,13,4,1,7,1,0,9,6,77104.0,3
0,2,1,9,20,4,1,0,0,2,9,1,32127.0,8
2,2,1,5,9,4,1,4,1,0,20,10,61041.0,10
0,1,1,9,24,4,1,7,1,0,9,4,65793.0,5
1,2,1,9,8,4,1,1,1,0,13,13,69608.0,0
1,2,1,6,9,4,1,7,1,0,8,3,80317.0,5
2,1,1,5,7,4,1,2,2,0,20,15,83530.0,5
1,1,1,9,11,2,1,3,1,0,10,8,105843.0,2
2,0,1,9,7,4,1,5,1,0,30,22,44978.0,8
2,3,1,10,7,4,1,1,1,2,19,13,64254.0,6
1,2,1,5,23,4,1,1,2,2,15,11,42600.0,4
2,0,1,5,14,6,1,2,3,0,20,15,74299.0,5
1,2,1,5,12,4,1,5,1,0,11,6,45406.0,5
2,1,1,1,13,4,1,4,1,0,8,7,80317.0,1
2,1,1,9,12,3,1,5,2,1,20,14,62112.0,6
1,0,1,9,7,2,1,1,0,1,14,5,37481.0,9
1,3,1,9,24,4,1,2,1,2,11,4,55862.0,7
1,1,1,8,18,6,1,6,1,2,7,7,96236.0,0
2,1,1,9,14,4,1,7,3,0,30,18,127475.0,12
4,2,1,7,9,4,1,3,6,0,45,34,77104.0,11
1,1,1,5,13,4,1,7,1,0,11,10,182052.0,1
1,2,1,7,10,4,1,6,1,0,17,7,54526.0,10
1,2,1,5,8,4,1,2,1,1,15,6,42836.0,9
1,1,1,9,13,4,1,2,1,0,20,7,48190.0,13
3,2,1,6,12,4,1,5,3,0,40,20,69608.0,20
1,1,1,9,10,4,1,1,1,2,8,8,14540.0,0
1,1,1,9,14,4,1,5,1,0,15,5,69807.0,10
0,0,1,8,10,4,1,7,0,2,6,3,16964.0,3
1,0,1,9,20,4,1,0,1,1,7,4,23560.0,3
0,1,1,5,24,2,1,5,0,2,6,2,62069.0,4
1,1,1,10,23,3,1,3,1,0,10,9,54000.0,1
1,3,1,2,9,3,1,3,1,0,13,9,74963.0,4
3,0,1,5,11,4,1,6,1,0,27,23,138985.0,4
1,1,1,9,21,4,1,2,1,1,9,6,50678.0,3
1,0,1,8,24,7,1,1,0,0,6,5,37241.0,1
1,0,1,9,21,4,1,1,1,1,14,9,64130.0,5
1,1,1,9,14,4,1,2,2,0,19,12,94088.0,7
2,0,1,9,9,5,1,6,3,0,7,5,59033.0,2
0,1,1,9,1,3,1,0,0,0,5,1,26987.0,4
2,1,1,5,9,4,1,7,2,2,20,11,107090.0,9
2,3,1,6,22,1,1,4,2,0,25,15,145485.0,10
2,1,1,9,13,4,1,2,4,1,25,18,53545.0,7
1,0,1,5,13,4,1,3,2,0,16,14,96381.0,2
2,3,1,2,7,4,1,5,1,0,7,5,74963.0,2
1,2,1,7,15,4,1,5,0,0,6,5,54821.0,1
1,1,1,9,25,4,1,7,1,0,10,6,180000.0,4
2,2,1,2,9,4,1,3,1,0,20,10,92097.0,10
4,3,1,1,8,1,1,5,4,1,43,32,46049.0,11
1,1,1,5,10,4,1,2,0,1,1,4,24234.0,-3
1,0,1,9,20,4,1,5,0,2,4,2,27843.0,2
1,2,1,5,19,4,1,4,0,2,10,2,30939.0,8
1,2,1,9,19,4,1,5,1,0,15,6,23514.0,9
1,2,1,6,15,4,1,5,0,1,8,0,52556.0,8
2,0,1,5,11,4,1,3,1,0,17,15,80184.0,2
2,0,1,9,9,4,1,0,3,2,19,16,101735.0,3
1,1,1,5,10,6,1,5,2,2,15,11,84818.0,4
2,1,1,5,24,2,1,7,2,2,24,12,99311.0,12
1,1,1,1,8,4,1,4,0,0,8,4,42836.0,4
1,2,1,7,20,7,1,5,1,0,9,5,53009.0,4
2,0,1,9,9,4,1,5,1,2,25,15,68109.0,10
2,1,1,9,7,4,1,5,2,2,20,11,58899.0,9
2,2,1,5,8,6,1,4,2,2,18,13,80317.0,5
1,0,1,0,9,4,1,2,1,2,12,9,96381.0,3
2,2,1,8,24,4,1,0,1,0,10,5,55862.0,5
1,2,1,5,16,2,1,2,0,2,8,5,59815.0,3
2,0,1,9,21,4,1,1,2,0,2,2,36857.0,0
1,2,1,6,15,4,1,4,1,1,16,8,65241.0,8
1,1,1,5,24,4,1,3,1,2,13,10,86897.0,3
1,2,1,9,24,6,1,2,0,0,7,1,31035.0,6
1,1,1,9,13,4,1,0,1,1,12,8,89955.0,4
2,1,1,7,24,4,1,2,4,2,30,5,55862.0,25
2,1,1,8,19,2,1,3,3,2,20,15,61878.0,5
1,2,1,9,8,4,1,7,1,0,9,4,37481.0,5
2,1,1,5,18,4,1,4,3,0,23,17,75688.0,6
1,1,1,9,10,4,1,7,1,0,10,7,13471.0,3
2,1,1,5,11,4,1,7,2,0,26,12,176404.0,14
2,1,1,9,8,4,1,4,1,0,22,8,44978.0,14
2,3,1,2,6,7,1,7,1,0,16,6,120779.0,10
3,1,1,9,13,2,1,5,5,0,20,18,74963.0,2
0,1,1,6,0,4,1,5,1,1,8,0,74778.0,8
2,1,1,6,0,3,1,2,3,0,18,15,89901.0,3
1,0,1,5,12,4,1,2,1,0,13,9,29985.0,4
1,2,1,9,12,4,1,1,1,0,14,8,32127.0,6
1,1,1,5,18,4,0,1,1,2,7,5,64254.0,2
1,2,1,9,6,4,1,1,1,1,15,10,86271.0,5
0,0,1,5,11,4,1,2,0,0,4,3,106912.0,1
0,2,1,1,8,4,1,3,0,0,10,3,19276.0,7
1,1,1,9,10,4,0,2,1,2,10,7,40000.0,3
1,1,1,5,15,4,1,3,1,1,6,2,58717.0,4
2,2,1,10,18,4,1,0,2,2,20,15,44127.0,5
1,1,1,9,14,4,1,0,1,2,15,7,100159.0,8
3,2,1,10,11,3,1,3,5,1,38,28,105843.0,10
1,1,1,9,24,4,1,5,0,2,16,3,43448.0,13
1,0,1,9,11,0,1,0,1,0,6,5,100000.0,1
1,1,1,5,10,4,1,0,1,2,5,2,12117.0,3
0,0,1,6,22,4,1,2,0,1,5,2,82662.0,3
1,2,1,9,5,4,1,2,0,0,11,3,19726.0,8
1,2,1,5,18,4,0,2,2,0,18,13,64732.0,5
1,0,1,9,2,7,1,2,2,0,5,4,42836.0,1
3,2,1,9,23,3,1,3,4,2,30,25,120000.0,5
2,1,1,6,18,2,2,3,3,0,26,20,72932.0,6
1,2,1,5,9,4,1,4,1,0,15,9,85672.0,6
2,2,1,5,12,4,1,6,2,0,30,13,53545.0,17
0,2,1,1,19,4,1,5,1,2,7,2,22895.0,5
1,2,1,5,19,4,1,4,1,2,8,6,68809.0,2
2,0,1,9,7,3,1,2,4,0,32,17,85672.0,15
1,2,1,8,12,4,1,1,0,0,6,2,32127.0,4
2,1,1,9,7,4,1,2,1,0,15,2,55772.0,13
1,1,1,0,0,4,1,3,1,2,14,7,123614.0,7
1,1,1,9,7,7,1,0,0,0,8,3,58899.0,5
3,0,1,8,9,4,1,4,1,0,36,24,74963.0,12
1,2,1,8,9,6,1,5,0,2,3,3,53545.0,0
3,1,1,5,19,4,1,1,0,2,10,4,55691.0,6
0,1,1,9,8,4,1,2,0,0,5,1,27843.0,4
1,2,1,5,23,4,1,2,1,0,9,9,67796.0,0
2,1,1,3,7,4,1,7,1,0,15,8,77104.0,7
1,2,1,1,16,4,0,3,1,0,15,9,71779.0,6
1,1,1,6,25,4,1,6,0,2,8,4,195000.0,4
2,1,1,9,18,4,0,2,4,2,25,25,96381.0,0
2,2,1,4,11,4,1,5,1,0,10,7,142460.0,3
2,1,0,4,18,4,1,4,1,2,20,10,23735.0,10
1,1,1,9,15,1,1,0,0,1,20,0,45306.0,20
0,1,1,6,8,4,1,2,0,1,8,3,12851.0,5
2,1,1,5,7,4,1,6,3,0,19,16,89438.0,3
2,1,1,5,18,4,1,4,1,0,13,10,78326.0,3
2,1,1,5,24,6,1,7,1,0,14,10,62069.0,4
1,2,1,10,9,4,1,3,0,0,10,2,66396.0,8
1,0,1,5,9,4,1,2,1,1,11,8,51403.0,3
2,2,1,2,11,2,1,7,2,0,23,13,106912.0,10
1,1,1,8,8,4,1,3,1,2,7,7,55687.0,0
1,1,1,10,10,5,1,3,1,2,10,9,72701.0,1
1,2,1,7,24,4,1,7,1,1,13,6,62069.0,7
2,2,1,6,10,4,1,5,1,0,15,12,24234.0,3
1,0,1,5,15,4,1,2,1,1,20,7,59805.0,13
1,1,1,5,23,4,1,2,1,2,8,6,51000.0,2
2,2,1,5,22,4,1,0,4,2,21,18,132260.0,3
1,0,1,9,24,2,1,4,0,0,4,3,68276.0,1
1,0,1,5,20,6,1,1,0,1,3,1,21418.0,2
1,2,1,8,21,4,1,2,1,0,15,7,105041.0,8
1,2,0,1,20,4,1,2,1,1,14,0,12851.0,14
1,0,1,9,9,6,1,3,0,1,7,4,38552.0,3
1,1,1,9,24,4,1,7,1,0,12,8,63310.0,4
3,3,1,9,7,4,1,2,0,2,3,2,34804.0,1
1,2,1,5,8,4,1,6,0,0,1,1,43907.0,0
2,2,1,2,24,6,1,2,3,0,15,4,79448.0,11
1,1,1,5,4,6,1,1,1,2,18,7,185879.0,11
2,2,1,9,9,4,0,0,1,2,5,3,64254.0,2
0,0,1,5,10,4,1,1,1,2,4,3,12723.0,1
1,1,1,0,10,4,1,2,1,2,15,6,78760.0,9
2,0,1,5,12,4,1,3,2,2,20,15,53545.0,5
