Age,EdLevel,MainBranch,DevType,Country,Industry,Employment,OrgSize,WorkExp,Worktype,YearsCode,YearsCodePro,Salary,Avgcodepro_time
2,0,1,9,9,4,1,2,1,0,25,22,69608.0,3
2,0,1,9,10,4,1,7,1,2,17,14,30292.0,3
0,0,1,9,9,4,1,2,1,1,4,1,35340.0,3
1,2,1,10,10,4,1,4,2,2,18,12,26657.0,6
2,2,1,10,9,6,1,7,4,0,27,21,149925.0,6
1,2,1,9,16,4,1,5,2,1,17,13,72975.0,4
2,0,1,9,24,4,1,3,2,0,15,12,69517.0,3
2,3,1,9,9,4,1,2,2,2,22,12,77104.0,10
1,0,1,6,9,4,1,1,2,0,15,13,69608.0,2
1,1,1,3,13,2,1,7,0,0,10,2,51403.0,8
0,1,1,7,10,7,1,7,0,0,6,1,12723.0,5
2,1,0,1,9,4,1,2,2,2,21,14,64254.0,7
2,2,1,5,6,4,1,5,1,1,15,10,86271.0,5
1,0,1,6,12,4,1,1,0,0,6,5,18205.0,1
1,1,1,9,9,6,1,3,0,1,10,3,64254.0,7
1,2,1,8,1,3,1,2,0,0,13,5,61469.0,8
3,1,1,5,15,4,1,4,1,1,30,7,77021.0,23
2,0,1,9,4,7,1,3,4,1,24,21,64686.0,3
3,3,1,5,24,2,1,2,4,0,32,20,14897.0,12
1,1,1,9,3,4,1,5,1,2,6,5,40575.0,1
1,1,1,9,9,3,1,3,0,0,8,3,59970.0,5
2,3,0,2,25,4,1,5,1,1,16,12,167000.0,4
1,2,1,5,12,4,1,3,1,0,15,3,32127.0,12
2,1,1,5,9,7,1,3,4,2,25,15,65325.0,10
1,1,1,5,10,2,1,2,1,2,13,10,65431.0,3
1,0,1,5,9,3,1,2,0,0,8,4,57828.0,4
2,1,1,9,19,4,1,2,1,2,10,7,50740.0,3
2,2,1,5,25,4,1,6,3,2,22,15,125000.0,7
2,2,1,4,25,4,1,3,2,2,15,11,175000.0,4
2,0,1,6,8,1,1,3,2,0,15,11,104948.0,4
2,2,1,9,12,3,1,3,2,2,23,12,44978.0,11
1,2,1,3,12,6,1,7,0,2,10,5,68537.0,5
1,2,1,9,9,4,1,1,1,1,13,6,64254.0,7
1,1,1,9,1,2,1,5,2,2,15,11,117798.0,4
1,0,1,9,8,7,1,2,0,1,7,5,38981.0,2
1,2,1,9,13,3,1,4,0,0,10,5,69608.0,5
1,2,1,5,1,4,1,0,1,2,17,7,59970.0,10
2,1,1,5,3,4,1,3,1,2,14,10,28403.0,4
1,0,1,9,9,4,1,1,0,2,4,3,41765.0,1
0,1,1,9,6,7,1,1,0,0,12,5,77644.0,7
1,2,1,6,16,4,1,7,0,0,7,3,47852.0,4
1,2,1,10,25,4,1,5,2,0,16,14,140000.0,2
1,0,1,5,16,4,1,3,0,0,6,5,53403.0,1
1,0,1,9,9,4,1,1,0,2,7,5,51403.0,2
1,1,1,5,9,6,1,5,0,0,7,2,64254.0,5
1,1,1,9,10,3,1,2,0,2,5,2,12117.0,3
2,2,1,9,25,4,1,2,2,2,4,2,90000.0,2
1,0,1,5,16,4,1,3,1,0,16,11,60294.0,5
1,1,0,2,25,2,1,7,1,0,8,7,165974.0,1
2,1,1,4,25,3,1,3,5,2,26,9,192000.0,17
0,0,1,9,22,4,1,5,1,0,8,3,121238.0,5
1,2,1,5,23,2,0,3,1,2,10,7,90000.0,3
1,1,1,9,9,2,1,4,1,0,18,7,102806.0,11
3,1,1,5,25,7,1,7,5,2,35,27,145000.0,8
2,2,1,2,20,4,1,2,2,2,22,13,64254.0,9
